기간,자치구,전체인구,전체인구/남자,전체인구/여자,65세이상 인구,65세이상 인구/남자,65세이상 인구/여자
2020-01-04,종로구,161984 ,78271 ,83713 ,28073 ,12459 ,15614 
2020-01-04,종로구,9841 ,4469 ,5372 ,1818 ,775 ,1043 
2020-01-04,종로구,2993 ,1435 ,1558 ,679 ,293 ,386 
2020-01-04,종로구,10597 ,5042 ,5555 ,1799 ,793 ,1006 
2020-01-04,종로구,18768 ,8807 ,9961 ,3335 ,1436 ,1899 
2020-01-04,종로구,8767 ,4074 ,4693 ,1438 ,611 ,827 
2020-01-04,종로구,10750 ,5001 ,5749 ,1601 ,662 ,939 
2020-01-04,종로구,4464 ,2070 ,2394 ,930 ,388 ,542 
2020-01-04,종로구,8539 ,4964 ,3575 ,1950 ,1086 ,864 
2020-01-04,종로구,5853 ,3180 ,2673 ,1138 ,548 ,590 
2020-01-04,종로구,8460 ,3879 ,4581 ,1404 ,589 ,815 
2020-01-04,종로구,6046 ,3240 ,2806 ,1244 ,604 ,640 
2020-01-04,종로구,9776 ,4980 ,4796 ,1733 ,754 ,979 
2020-01-04,종로구,7230 ,3558 ,3672 ,1228 ,545 ,683 
2020-01-04,종로구,6508 ,3154 ,3354 ,1182 ,509 ,673 
2020-01-04,종로구,9965 ,5027 ,4938 ,1695 ,835 ,860 
2020-01-04,종로구,12960 ,6064 ,6896 ,2237 ,936 ,1301 
2020-01-04,종로구,20467 ,9327 ,11140 ,2662 ,1095 ,1567 
2020-01-04,중구,136469 ,66769 ,69700 ,23794 ,10495 ,13299 
2020-01-04,중구,3057 ,1539 ,1518 ,298 ,148 ,150 
2020-01-04,중구,5812 ,3134 ,2678 ,1509 ,781 ,728 
2020-01-04,중구,3649 ,1626 ,2023 ,782 ,290 ,492 
2020-01-04,중구,4904 ,2425 ,2479 ,838 ,373 ,465 
2020-01-04,중구,5573 ,2749 ,2824 ,823 ,358 ,465 
2020-01-04,중구,6427 ,3368 ,3059 ,1192 ,585 ,607 
2020-01-04,중구,2012 ,1196 ,816 ,500 ,282 ,218 
2020-01-04,중구,10969 ,5350 ,5619 ,1742 ,719 ,1023 
2020-01-04,중구,13779 ,6601 ,7178 ,1961 ,885 ,1076 
